공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
국립대한민국임시정부기념관 대국민 아이디어 공모,5215,국가보훈처,"국립대한민국임시정보기념관 건립위원회, 국립대한민국임시정보기념관 건립추진단 ",기획/아이디어디자인건축/건설,제한없음,2018-01-29 ~ 2018-03-12,200만원,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
재단법인 한국장례문화진흥원 기관 명칭 공모,9127,보건복지부,한국장례문화진흥원,기획/아이디어네이밍/슬로건광고/마케팅,제한없음,2018-02-01 ~ 2018-03-16,70만원,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
OWHC-AP 세계유산도시 국제사진공모전 2018,8796,세계유산도시기구 아태지역사무처,한국장례문화진흥원,디자인광고/마케팅사진,제한없음,2018-02-01 ~ 2018-04-20,"2,000USD",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2017 제1회 그래픽 디자인 공모전,46222,"JTB그룹, SBS아카데미컴퓨터아트학원","JTB그룹, SBS아카데미컴퓨터아트학원",디자인,제한없음,2017-03-01 ~ 2017-04-30,상금 300만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
제9회 독립기념관 UCC 공모전,4968,독립기념관,독립기념관,기획/아이디어UCC/영상,제한없음,2017-04-01 ~ 2017-06-30,300만원,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
(접수기간 연장) 제15회 대학(원)생 국제개발협력 논문공모,8870,KOICA,KOICA,논문/리포트,대학생/대학원생,2018-02-01 ~ 2018-04-02,500만원,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
고성군 농식품 통합브랜드 명칭(네이밍) 공모,3457,경상남도 고성군,경상남도 고성군,네이밍/슬로건,제한없음,2018-02-01 ~ 2018-02-20,상품권 100만원,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
제 1회 저탄소 농축산물 인증제 그림일기/UCC 공모전,3674,농림축산식품부,농업기술실용화재단,UCC/영상,제한없음,2018-01-22 ~ 2018-02-28,200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"STORY10 챌린지 : 가족을 말하다, 카드뉴스 공모전",4101,한국경제매거진,한국경제매거진,디자인,제한없음,2017-03-27 ~ 2017-05-07,500만원,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
제8회 관광벤처사업 공모전,2785,문화체육관광부,한국관광공사,취업/창업,제한없음,2018-01-24 ~ 2018-02-28,"3,000만원",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
장애인고용 인식개선 콘테스트 작품 현상 공모전,9706,한국장애인고용공단,한국장애인고용안정협회,논문/리포트기획/아이디어UCC/영상,대학생/대학원생/일반인/중학생/고등학생,2017-04-03 ~ 2017-06-16,200만원,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
광주시 숨은 보물찾기 사진영상 공모,6132,경기도 광주시,경기도 광주시,사진UCC/영상,제한없음,2018-01-02 ~ 2018-12-21,상품권 5만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제4회 송건호 대학사진상 공모전​,27223,"청암언론문화재단, 한겨레미디어","청암언론문화재단, 한겨레미디어",사진,대학생,2017-01-23 ~ 2017-04-02,300만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017 제15회 경상북도 영상콘텐츠 시나리오 공모전,7110,경상북도,경북문화콘텐츠진흥원,UCC/영상,제한없음,2017-06-26 ~ 2017-07-28,1200만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
<내가 선택한 대전> 패러디 영상공모전,3377,대전시인터넷방송,대전시인터넷방송,UCC/영상,제한없음,2017-09-05 ~ 2017-10-31,상금 150만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2017 자몽프로젝트 '스스로 꿈꿔보자, 우리의 복지를' [051 영화제]",1274,부산광역시사회복지협의회,부산광역시사회복지협의회,UCC/영상,제한없음,2017-11-13 ~ 2017-11-19,300만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제7회 의왕시 UCC 공모전,8810,의왕시청,의왕시청,UCC/영상,제한없음,2017-06-26 ~ 2017-10-31,100만원,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
제9회 보조기기 아이디어 공모전,10953,경기도재활공학서비스연구지원센터,경기도재활공학서비스연구지원센터,기획/아이디어,제한없음,2017-08-01 ~ 2017-11-03,400만원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
