공모전명,조회수,주최,주관,응모분야,참가자격,접수기간,1등시상금,입사_가산점,인턴정직원_채용,기획/아이디어,광고/마케팅,학술,사진/영상/UCC,디자인,문학/시나리오,건축/건설/인테리어,브랜드/네이밍,예체능,대외활동,취업/창업,IT/소프트웨어/게임,분야별_기타
2018 미래 인재 컨퍼런스,2074,"뉴스토마토, 토마토TV","뉴스토마토, 토마토TV",대외활동,제한없음,2018-02-07 ~ 2018-02-22,컨퍼런스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"한국장례문화진흥원, 홍보 서포터즈‘G-프렌즈’3기 모집",2752,보건복지부,(재)한국장례문화진흥원,대외활동,제한없음,2018-02-05 ~ 2018-03-16,매월 소정의 활동비 지급,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018학년도 전기 국민대학교 VR디자인학과 신입생 모집,3650,국민대학교 VR디자인학과,국민대학교 VR디자인학과,대외활동취업/창업장학(금)재단,대학생/대학원생/일반인,2017-09-29 ~ 2017-10-28, ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
괜찮니 서포터즈 모집,10279,"보건복지부, 중앙자살예방센터","보건복지부, 중앙자살예방센터",기획/아이디어광고/마케팅대외활동,대학생,2017-03-20 ~ 2017-04-02,"체험,참여",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2017 대학생 통상 정책 토론대회,2004,산업통상자원부,한국경제매거진,대외활동,대학생/대학원생,2017-09-28 ~ 2017-11-03,400만원,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oksusu X 오버워치 전국 대학 경쟁전,9012,sk브로드밴드,sk브로드밴드,게임/소프트웨어대외활동경품/이벤트,대학생,2017-02-22 ~ 2017-03-31,"1,400만원",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LH 소셜벤처 창업지원사업,7269,한국토지주택공사,주거복지재단,기획/아이디어대외활동취업/창업,대학생/대학원생/일반인,2017-05-22 ~ 2017-06-16,"15팀 선발, 지원금 총 1.5억원",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
보건복지부 대학생 금연서포터즈 11기 모집,6411,보건복지부,보건복지부,기획/아이디어광고/마케팅대외활동,대학생,2017-03-24 ~ 2017-04-17,해외 보건당국 탐방,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
제3회 ING 생명 오렌지 아이디어 캠프,2669,ING 생명,근로복지공단,기획/아이디어대외활동,대학생/대학원생,2017-06-12 ~ 2017-06-23,300만원,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
청년고용정책 아이디어 공모전,3747,고용노동부,고용노동부,기획/아이디어광고/마케팅대외활동취업/창업,대학생/대학원생/일반인/고등학생,2017-09-25 ~ 2017-10-15,100만원,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
