user_id,gong_id,gong_rank
1,2205,3
1,1580,6
1,7545,2
1,1595,6
1,10605,10
1,10952,9
1,12998,9
1,7858,8
2,11116,2
2,9924,1
2,6488,2
2,1491,6
2,12923,9
2,4335,9
2,13533,3
2,7389,1
2,8760,3
3,912,10
3,6253,1
3,9671,10
3,2351,5
3,11318,6
3,11585,8
3,1501,5
3,1580,6
3,5028,3
3,5562,8
3,5669,7
3,8218,6
3,2474,8
3,10481,7
4,12596,5
4,6488,1
4,2112,5
4,10116,7
4,4499,10
4,7196,3
4,2768,5
4,4515,3
4,514,6
5,14317,10
5,11520,2
5,2813,7
5,483,9
5,1298,6
5,1622,3
5,13351,2
5,14178,4
6,1416,4
6,563,10
6,2878,8
6,3510,6
6,1746,6
6,7790,3
6,3083,9
6,7677,10
7,7911,3
7,10887,5
7,10532,3
7,11363,9
7,5979,9
7,1687,5
7,10594,8
7,2512,10
7,2107,6
8,3560,9
8,13767,4
8,8388,9
8,11045,6
8,2040,2
8,9820,10
8,10932,3
8,6311,1
8,10515,3
8,1865,9
9,6175,4
9,10131,9
9,13609,10
9,4764,10
9,13863,1
9,11227,7
9,5453,9
9,2439,4
9,22,10
9,3920,7
9,1191,1
10,10521,5
10,11097,7
10,3965,5
10,12617,7
10,10765,3
10,2441,10
10,7476,8
10,8168,9
10,8482,4
10,2593,3
11,14228,3
11,1189,5
11,7071,6
11,11205,8
11,6794,2
11,13139,8
11,12557,10
11,7329,8
11,12220,10
12,12144,6
12,12952,2
12,12588,8
12,8202,2
12,12971,6
12,2149,6
13,1322,8
13,10350,5
13,4624,3
13,13604,4
13,5728,8
13,6960,6
13,11094,10
13,6830,4
13,1168,4
13,10726,1
13,12984,1
14,5387,9
14,13476,10
14,10150,6
14,12936,7
14,5564,9
14,8998,5
14,9416,6
14,796,9
14,14433,4
14,13012,1
14,5042,6
15,6334,8
15,1361,8
15,10145,10
15,11138,9
15,5584,5
15,13844,4
15,8030,10
15,3135,1
15,8240,1
15,9519,4
15,2009,6
15,13452,5
15,1865,7
15,10760,3
15,10636,9
15,8228,2
16,213,7
16,1177,1
16,9155,6
16,9931,5
16,13398,10
16,6572,10
16,8328,2
16,10452,1
16,7827,10
16,1715,6
17,12877,9
17,5126,6
17,8521,5
17,11793,7
17,2172,4
17,14405,5
17,394,8
17,2,8
17,9695,4
17,9106,5
17,13497,6
17,3785,3
17,1711,2
18,4919,2
18,11326,7
18,13939,7
18,8596,10
18,1255,8
18,11398,10
18,5099,3
18,13909,6
18,1498,8
18,10055,5
19,13397,2
19,8660,6
19,13860,9
19,4493,7
19,2092,7
20,1775,7
20,3497,2
20,5002,10
20,7872,9
20,11997,1
20,9340,3
20,13475,4
20,2647,7
20,11559,5
20,1469,3
20,14050,9
20,12022,4
20,9438,5
21,4392,7
21,12731,6
21,783,5
21,8853,1
21,2121,7
21,8838,5
21,9802,2
21,188,8
21,1164,8
22,10775,4
22,11410,5
22,7956,9
22,8964,6
22,12147,8
22,3689,5
22,13906,1
22,9240,8
22,10620,10
23,3352,4
23,876,8
23,7326,3
23,7398,2
23,12378,3
23,6558,5
23,5485,5
23,2110,6
23,9040,1
23,9697,9
24,973,9
24,5317,9
24,10401,6
24,4282,9
24,1059,3
24,9499,1
24,3032,5
25,13943,8
25,5388,1
25,7587,5
25,4436,2
25,7314,7
25,6727,6
25,14450,6
25,12654,5
25,11624,5
26,2039,3
26,589,7
26,2407,7
26,8161,7
26,4819,5
26,4884,10
26,6231,10
26,1768,6
27,7563,7
27,12867,3
27,12136,3
27,13103,10
27,6874,8
27,3538,3
27,10011,6
27,4293,2
27,679,6
27,7218,6
27,175,8
27,3312,3
28,10853,6
28,3854,5
28,4116,1
28,5767,9
28,4860,10
28,3462,4
29,9253,1
29,4659,10
29,9511,3
29,7113,6
29,10046,4
29,6617,1
29,11491,5
29,8062,7
29,3562,3
29,4918,6
29,3769,3
29,11093,3
29,7641,8
29,5077,3
30,13158,1
30,8360,4
30,6598,3
30,1979,1
30,9788,1
30,4378,7
30,1363,3
30,1698,10
30,4316,1
31,8676,3
31,13361,3
31,11651,3
31,1803,8
31,2918,4
31,10418,2
31,817,6
31,8270,7
31,6238,3
31,11381,2
31,9375,9
31,5376,1
31,8209,8
31,3471,1
32,1124,6
32,1983,7
32,13871,6
33,13406,8
33,1299,6
33,12876,8
33,6957,6
33,11643,4
33,4659,5
33,5296,5
33,9483,5
33,4994,5
33,14185,8
33,12104,10
33,8452,5
33,5535,5
34,382,4
34,14282,5
34,10844,2
34,1752,9
34,4243,10
34,3698,6
34,13424,8
34,8124,7
34,14092,8
34,4461,1
34,10567,1
34,648,1
34,4384,1
35,90,8
35,57,6
35,1192,2
35,886,1
35,8814,6
35,13591,8
35,6554,4
35,9702,2
35,4144,1
35,5202,9
35,5510,9
35,3051,10
36,9900,7
36,2389,10
36,10229,6
36,5694,5
36,847,5
36,811,3
37,13330,4
37,564,8
37,14207,8
37,999,4
37,9194,5
37,6362,4
37,1277,1
37,7114,7
38,14375,5
38,1237,9
38,11506,5
38,5648,8
38,3575,9
38,5738,2
38,11450,9
38,8252,5
39,9306,9
39,4287,2
39,10567,6
39,12283,9
39,13953,8
39,6424,1
40,10911,6
40,10,2
40,13414,8
40,12161,8
40,1239,7
40,3608,6
40,12144,9
40,12523,7
40,2856,1
40,8980,10
40,8554,9
40,12583,8
40,10136,4
41,3298,9
41,12788,4
41,6188,2
41,322,5
41,3681,2
41,13425,8
41,3203,2
41,5446,4
41,2037,7
42,5632,8
42,3075,8
42,8649,6
42,6319,5
42,7962,6
42,3145,3
42,6956,2
42,11126,9
42,11419,3
43,10904,10
43,6271,3
43,7066,9
43,12623,7
43,4270,7
43,2487,4
43,7651,8
43,2062,6
43,13102,2
43,3861,3
44,7360,1
44,5261,1
44,5496,1
44,1776,4
44,12582,9
44,7086,7
44,2694,4
44,7420,4
44,13114,2
44,10144,4
44,5648,8
44,7544,6
45,8197,10
45,4944,9
45,4820,7
45,3815,4
45,13613,2
45,12726,1
45,10517,3
46,13698,1
46,7693,4
46,13230,2
46,7798,5
46,11743,7
46,1723,6
46,603,5
46,6925,8
46,2953,6
46,5057,10
47,9847,7
47,6153,1
47,4356,10
47,5731,4
47,3495,3
47,7856,9
47,3816,2
47,4798,8
47,10884,3
48,14249,10
48,3790,10
48,11093,9
48,5630,5
48,13419,7
48,8823,3
48,666,5
48,11208,8
48,2765,6
48,12911,7
48,13619,5
48,8826,2
49,1954,10
49,3632,4
49,14004,1
49,13186,3
49,4545,3
49,12656,6
49,240,3
49,13124,2
49,280,8
50,5507,10
50,4774,1
50,13299,5
50,437,7
50,2610,3
50,7914,5
50,672,6
50,8744,7
50,7104,4
50,10328,9
50,10784,5
50,10264,9
51,12292,4
51,4378,5
51,3813,3
51,4604,3
